date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:01:11	188053/188053	---M--	200	added ('OK')	image/jpeg	etag:%222de95-5584d92325ef5%22	http://clubs.marist.edu/anime/images/ecaferraN.jpg	C:/My%20Web%20Sites/Anime20172018/clubs.marist.edu/anime/images/ecaferraN.jpg	(from http://clubs.marist.edu/anime/meet_board.html)
22:01:20	342094/342094	---M--	200	added ('OK')	image/jpeg	etag:%225384e-5584d9bcfeb35%22	http://clubs.marist.edu/anime/images/snormanN.jpg	C:/My%20Web%20Sites/Anime20172018/clubs.marist.edu/anime/images/snormanN.jpg	(from http://clubs.marist.edu/anime/meet_board.html)
22:01:33	137543/137543	---M--	200	added ('OK')	image/jpeg	etag:%2221947-5584d5e0c4dc5%22	http://clubs.marist.edu/anime/images/vjosephN.jpg	C:/My%20Web%20Sites/Anime20172018/clubs.marist.edu/anime/images/vjosephN.jpg	(from http://clubs.marist.edu/anime/meet_board.html)
22:01:37	105322/105322	---M--	200	added ('OK')	image/jpeg	etag:%2219b6a-5584d64f2d055%22	http://clubs.marist.edu/anime/images/emarsN.jpg	C:/My%20Web%20Sites/Anime20172018/clubs.marist.edu/anime/images/emarsN.jpg	(from http://clubs.marist.edu/anime/meet_board.html)
22:01:42	410289/410289	---M--	200	added ('OK')	image/png	etag:%22642b1-5584d83c9b615%22	http://clubs.marist.edu/anime/images/ftregliaN.png	C:/My%20Web%20Sites/Anime20172018/clubs.marist.edu/anime/images/ftregliaN.png	(from http://clubs.marist.edu/anime/meet_board.html)
22:01:53	206872/206872	---M--	200	added ('OK')	image/jpeg	etag:%2232818-5585ddd825d95%22	http://clubs.marist.edu/anime/images/psofronasN.jpg	C:/My%20Web%20Sites/Anime20172018/clubs.marist.edu/anime/images/psofronasN.jpg	(from http://clubs.marist.edu/anime/meet_board.html)
22:02:02	8165270/8165270	---M--	200	added ('OK')	image/jpeg	etag:%22580424bc-7c9796%22	https://images5.alphacoders.com/749/749153.jpg	C:/My%20Web%20Sites/Anime20172018/images5.alphacoders.com/749/749153.jpg	(from http://clubs.marist.edu/anime/current_listings.html)
22:02:05	12766/12766	---M--	200	added ('OK')	image/jpeg	etag:%2231de-54e3f1265c520%22	http://clubs.marist.edu/anime/images/cherman.jpg	C:/My%20Web%20Sites/Anime20172018/clubs.marist.edu/anime/images/cherman.jpg	(from http://clubs.marist.edu/anime/e-board.html)
22:02:08	24697/24697	---M--	200	added ('OK')	image/jpeg	etag:%226079-54e3f1265c520%22	http://clubs.marist.edu/anime/images/vinny3.jpg	C:/My%20Web%20Sites/Anime20172018/clubs.marist.edu/anime/images/vinny3.jpg	(from http://clubs.marist.edu/anime/e-board.html)
22:02:09	28175/28175	---M--	200	added ('OK')	image/jpeg	etag:%226e0f-54e3f1265c520%22	http://clubs.marist.edu/anime/images/joe3.jpg	C:/My%20Web%20Sites/Anime20172018/clubs.marist.edu/anime/images/joe3.jpg	(from http://clubs.marist.edu/anime/e-board.html)
22:02:09	13/13	---M--	403	error ('Access%20Denied')	text/plain	date:Mon,%2012%20Feb%202018%2003:02:09%20GMT	https://scontent-iad3-1.xx.fbcdn.net/t31.0-8/10460850_10152813444652365_3137903499486980399_o.jpg	C:/My%20Web%20Sites/Anime20172018/scontent-iad3-1.xx.fbcdn.net/t31.0-8/10460850_10152813444652365_3137903499486980399_o.40.delayed	(from http://clubs.marist.edu/anime/e-board.html)
22:02:11	12384/12384	---M--	200	added ('OK')	image/jpeg	etag:%223060-54e3f125b16c0%22	http://clubs.marist.edu/anime/images/kskocypec.jpg	C:/My%20Web%20Sites/Anime20172018/clubs.marist.edu/anime/images/kskocypec.jpg	(from http://clubs.marist.edu/anime/e-board.html)
22:02:12	25980/25980	---M--	200	added ('OK')	image/jpeg	etag:%22657c-54e3f12659e10%22	http://clubs.marist.edu/anime/images/erina4.jpg	C:/My%20Web%20Sites/Anime20172018/clubs.marist.edu/anime/images/erina4.jpg	(from http://clubs.marist.edu/anime/e-board.html)
22:02:18	122551/122551	---M--	200	added ('OK')	image/jpeg	etag:%221deb7-54e3f12654ff0%22	http://clubs.marist.edu/anime/images/aharris.jpg	C:/My%20Web%20Sites/Anime20172018/clubs.marist.edu/anime/images/aharris.jpg	(from http://clubs.marist.edu/anime/e-board.html)
22:02:21	65938/65938	---M--	200	added ('OK')	image/jpeg	etag:%2210192-54e3f12617f60%22	http://clubs.marist.edu/anime/images/emarrs.jpg	C:/My%20Web%20Sites/Anime20172018/clubs.marist.edu/anime/images/emarrs.jpg	(from http://clubs.marist.edu/anime/e-board.html)
22:02:37	306552/306552	---M--	200	added ('OK')	image/png	etag:%224ad78-54e3f125cc470%22	http://clubs.marist.edu/anime/images/fran2.png	C:/My%20Web%20Sites/Anime20172018/clubs.marist.edu/anime/images/fran2.png	(from http://clubs.marist.edu/anime/e-board.html)
22:02:41	342094/342094	---M--	200	added ('OK')	image/jpeg	etag:%225384e-54e3f12615850%22	http://clubs.marist.edu/anime/images/snorman.jpg	C:/My%20Web%20Sites/Anime20172018/clubs.marist.edu/anime/images/snorman.jpg	(from http://clubs.marist.edu/anime/e-board.html)
